Campionato;GiornoSettimana;GiornoMese;Mese;Casa;Trasferta;GoalCasa;GoalTrasferta
2020/21;Dom;18;Ott;Torino;Cagliari;2;3
2020/21;Dom;18;Ott;Udinese;Parma;3;2
2020/21;Dom;18;Ott;Roma;Benevento;5;2
2020/21;Lun;19;Ott;Hellas Verona;Genoa;0;0
2020/21;Ven;23;Ott;Sassuolo;Torino;3;3
2020/21;Sab;24;Ott;Atalanta;Sampdoria;1;3
2020/21;Sab;24;Ott;Genoa;Inter;0;2
2020/21;Sab;24;Ott;Lazio;Bologna;2;1
2020/21;Dom;25;Ott;Cagliari;Crotone;4;2
2020/21;Dom;25;Ott;Benevento;Napoli;1;2
2020/21;Dom;25;Ott;Parma;Spezia;2;2
2020/21;Dom;25;Ott;Fiorentina;Udinese;3;2
2020/21;Dom;25;Ott;Juventus;Hellas Verona;1;1
2020/21;Lun;26;Ott;Milan;Roma;3;3
2020/21;Sab;31;Ott;Crotone;Atalanta;1;2
2020/21;Sab;31;Ott;Inter;Parma;2;2
2020/21;Sab;31;Ott;Bologna;Cagliari;3;2
2020/21;Dom;1;Nov;Udinese;Milan;1;2
2020/21;Dom;1;Nov;Spezia;Juventus;1;4
2020/21;Dom;1;Nov;Torino;Lazio;3;4
2020/21;Dom;1;Nov;Roma;Fiorentina;2;0
2020/21;Dom;1;Nov;Napoli;Sassuolo;0;2
2020/21;Dom;1;Nov;Sampdoria;Genoa;1;1
2020/21;Lun;2;Nov;Hellas Verona;Benevento;3;1
2020/21;Mer;4;Nov;Genoa;Torino;1;2
2020/21;Ven;6;Nov;Sassuolo;Udinese;0;0
2020/21;Sab;7;Nov;Cagliari;Sampdoria;2;0
2020/21;Sab;7;Nov;Benevento;Spezia;0;3
2020/21;Sab;7;Nov;Parma;Fiorentina;0;0
2020/21;Dom;8;Nov;Lazio;Juventus;1;1
2020/21;Dom;8;Nov;Atalanta;Inter;1;1
2020/21;Dom;8;Nov;Genoa;Roma;1;3
2020/21;Dom;8;Nov;Torino;Crotone;0;0
2020/21;Dom;8;Nov;Bologna;Napoli;0;1
2020/21;Dom;8;Nov;Milan;Hellas Verona;2;2
2020/21;Sab;21;Nov;Crotone;Lazio;0;2
2020/21;Sab;21;Nov;Spezia;Atalanta;0;0
2020/21;Sab;21;Nov;Juventus;Cagliari;2;0
2020/21;Dom;22;Nov;Fiorentina;Benevento;0;1
2020/21;Dom;22;Nov;Roma;Parma;3;0
2020/21;Dom;22;Nov;Hellas Verona;Sassuolo;0;2
2020/21;Dom;22;Nov;Inter;Torino;4;2
2020/21;Dom;22;Nov;Sampdoria;Bologna;1;2
2020/21;Dom;22;Nov;Udinese;Genoa;1;0
2020/21;Dom;22;Nov;Napoli;Milan;1;3
2020/21;Sab;28;Nov;Sassuolo;Inter;0;3
2020/21;Sab;28;Nov;Benevento;Juventus;1;1
2020/21;Sab;28;Nov;Atalanta;Hellas Verona;0;2
2020/21;Dom;29;Nov;Lazio;Udinese;1;3
2020/21;Dom;29;Nov;Milan;Fiorentina;2;0
2020/21;Dom;29;Nov;Bologna;Crotone;1;0
2020/21;Dom;29;Nov;Cagliari;Spezia;2;2
